FEDFUNDS,Owner-Occupied-Home-Proportion,30-Year-Mortgage-Rate,Consumer-Price-Index,Year,Month,Quarter,Region,Home Size,Average Sales Price,Number of Households (Thousands),Median Income - Current Dollars,Median Income - 2022 Dollars,Mean Income - Current Dollars,Mean Income - 2022 Dollars,Year-Quarter-Month
0.07,64.9,4.432,235.288,2014,January,Q1,Midwest,Double,88200.0,27460.0,54270.0,65640.0,73480.0,88890.0,2014-Q1-January
0.07,64.9,4.432,235.288,2014,January,Q1,Midwest,Single ,51400.0,27460.0,54270.0,65640.0,73480.0,88890.0,2014-Q1-January
0.07,64.9,4.432,235.288,2014,January,Q1,Midwest,Total1,72000.0,27460.0,54270.0,65640.0,73480.0,88890.0,2014-Q1-January
0.07,64.9,4.432,235.288,2014,January,Q1,Northeast,Double,92600.0,22180.0,59210.0,71620.0,83720.0,101300.0,2014-Q1-January
0.07,64.9,4.432,235.288,2014,January,Q1,Northeast,Single ,48700.0,22180.0,59210.0,71620.0,83720.0,101300.0,2014-Q1-January
0.07,64.9,4.432,235.288,2014,January,Q1,Northeast,Total1,72100.0,22180.0,59210.0,71620.0,83720.0,101300.0,2014-Q1-January
0.07,64.9,4.432,235.288,2014,January,Q1,South,Double,80700.0,47040.0,49660.0,60060.0,70990.0,85870.0,2014-Q1-January
0.07,64.9,4.432,235.288,2014,January,Q1,South,Single ,46900.0,47040.0,49660.0,60060.0,70990.0,85870.0,2014-Q1-January
0.07,64.9,4.432,235.288,2014,January,Q1,South,Total1,63800.0,47040.0,49660.0,60060.0,70990.0,85870.0,2014-Q1-January
0.07,64.9,4.432,235.288,2014,January,Q1,United States,Double,84500.0,124600.0,53660.0,64900.0,75740.0,91610.0,2014-Q1-January
0.07,64.9,4.432,235.288,2014,January,Q1,United States,Single ,48000.0,124600.0,53660.0,64900.0,75740.0,91610.0,2014-Q1-January
0.07,64.9,4.432,235.288,2014,January,Q1,United States,Total1,68300.0,124600.0,53660.0,64900.0,75740.0,91610.0,2014-Q1-January
0.07,64.9,4.432,235.288,2014,January,Q1,West,Double,93900.0,27910.0,57690.0,69780.0,79610.0,96300.0,2014-Q1-January
0.07,64.9,4.432,235.288,2014,January,Q1,West,Single ,55400.0,27910.0,57690.0,69780.0,79610.0,96300.0,2014-Q1-January
0.07,64.9,4.432,235.288,2014,January,Q1,West,Total1,87700.0,27910.0,57690.0,69780.0,79610.0,96300.0,2014-Q1-January
0.07,64.9,4.3025,235.547,2014,February,Q1,Midwest,Double,86100.0,27460.0,54270.0,65640.0,73480.0,88890.0,2014-Q1-February
0.07,64.9,4.3025,235.547,2014,February,Q1,Midwest,Single ,44800.0,27460.0,54270.0,65640.0,73480.0,88890.0,2014-Q1-February
0.07,64.9,4.3025,235.547,2014,February,Q1,Midwest,Total1,59700.0,27460.0,54270.0,65640.0,73480.0,88890.0,2014-Q1-February
0.07,64.9,4.3025,235.547,2014,February,Q1,Northeast,Double,76200.0,22180.0,59210.0,71620.0,83720.0,101300.0,2014-Q1-February
0.07,64.9,4.3025,235.547,2014,February,Q1,Northeast,Single ,40600.0,22180.0,59210.0,71620.0,83720.0,101300.0,2014-Q1-February
0.07,64.9,4.3025,235.547,2014,February,Q1,Northeast,Total1,59100.0,22180.0,59210.0,71620.0,83720.0,101300.0,2014-Q1-February
0.07,64.9,4.3025,235.547,2014,February,Q1,South,Double,79700.0,47040.0,49660.0,60060.0,70990.0,85870.0,2014-Q1-February
0.07,64.9,4.3025,235.547,2014,February,Q1,South,Single ,44800.0,47040.0,49660.0,60060.0,70990.0,85870.0,2014-Q1-February
