,quarter,month,FEDFUNDS,RSAHORUSQ156S,MORTGAGE30US,CPIAUCSL
0,1954Q3,1954-07,0.8,,,26.86
1,1954Q3,1954-08,1.22,,,26.85
2,1954Q3,1954-09,1.07,,,26.81
3,1954Q4,1954-10,0.85,,,26.72
4,1954Q4,1954-11,0.83,,,26.78
5,1954Q4,1954-12,1.28,,,26.77
6,1955Q1,1955-01,1.39,,,26.77
7,1955Q1,1955-02,1.29,,,26.82
8,1955Q1,1955-03,1.35,,,26.79
9,1955Q2,1955-04,1.43,,,26.79
10,1955Q2,1955-05,1.43,,,26.77
11,1955Q2,1955-06,1.64,,,26.71
12,1955Q3,1955-07,1.68,,,26.76
13,1955Q3,1955-08,1.96,,,26.72
14,1955Q3,1955-09,2.18,,,26.85
15,1955Q4,1955-10,2.24,,,26.82
16,1955Q4,1955-11,2.35,,,26.88
17,1955Q4,1955-12,2.48,,,26.87
18,1956Q1,1956-01,2.45,,,26.83
19,1956Q1,1956-02,2.5,,,26.86
20,1956Q1,1956-03,2.5,,,26.89
21,1956Q2,1956-04,2.62,,,26.93
22,1956Q2,1956-05,2.75,,,27.03
23,1956Q2,1956-06,2.71,,,27.15
24,1956Q3,1956-07,2.75,,,27.29
25,1956Q3,1956-08,2.73,,,27.31
26,1956Q3,1956-09,2.95,,,27.35
27,1956Q4,1956-10,2.96,,,27.51
28,1956Q4,1956-11,2.88,,,27.51
29,1956Q4,1956-12,2.94,,,27.63
30,1957Q1,1957-01,2.84,,,27.67
31,1957Q1,1957-02,3.0,,,27.8
32,1957Q1,1957-03,2.96,,,27.86
33,1957Q2,1957-04,3.0,,,27.93
34,1957Q2,1957-05,3.0,,,28.0
35,1957Q2,1957-06,3.0,,,28.11
36,1957Q3,1957-07,2.99,,,28.19
37,1957Q3,1957-08,3.24,,,28.28
38,1957Q3,1957-09,3.47,,,28.32
39,1957Q4,1957-10,3.5,,,28.32
40,1957Q4,1957-11,3.28,,,28.41
41,1957Q4,1957-12,2.98,,,28.47
42,1958Q1,1958-01,2.72,,,28.64
43,1958Q1,1958-02,1.67,,,28.7
44,1958Q1,1958-03,1.2,,,28.87
45,1958Q2,1958-04,1.26,,,28.94
46,1958Q2,1958-05,0.63,,,28.94
47,1958Q2,1958-06,0.93,,,28.91
48,1958Q3,1958-07,0.68,,,28.89
49,1958Q3,1958-08,1.53,,,28.94
50,1958Q3,1958-09,1.76,,,28.91
51,1958Q4,1958-10,1.8,,,28.91
52,1958Q4,1958-11,2.27,,,28.95
53,1958Q4,1958-12,2.42,,,28.97
54,1959Q1,1959-01,2.48,,,29.01
55,1959Q1,1959-02,2.43,,,29.0
56,1959Q1,1959-03,2.8,,,28.97
57,1959Q2,1959-04,2.96,,,28.98
58,1959Q2,1959-05,2.9,,,29.04
59,1959Q2,1959-06,3.39,,,29.11
60,1959Q3,1959-07,3.47,,,29.15
61,1959Q3,1959-08,3.5,,,29.18
62,1959Q3,1959-09,3.76,,,29.25
63,1959Q4,1959-10,3.98,,,29.35
64,1959Q4,1959-11,4.0,,,29.35
65,1959Q4,1959-12,3.99,,,29.41
66,1960Q1,1960-01,3.99,,,29.37
67,1960Q1,1960-02,3.97,,,29.41
68,1960Q1,1960-03,3.84,,,29.41
69,1960Q2,1960-04,3.92,,,29.54
70,1960Q2,1960-05,3.85,,,29.57
71,1960Q2,1960-06,3.32,,,29.61
72,1960Q3,1960-07,3.23,,,29.55
73,1960Q3,1960-08,2.98,,,29.61
74,1960Q3,1960-09,2.6,,,29.61
75,1960Q4,1960-10,2.47,,,29.75
76,1960Q4,1960-11,2.44,,,29.78
77,1960Q4,1960-12,1.98,,,29.81
78,1961Q1,1961-01,1.45,,,29.84
79,1961Q1,1961-02,2.54,,,29.84
80,1961Q1,1961-03,2.02,,,29.84
81,1961Q2,1961-04,1.49,,,29.81
82,1961Q2,1961-05,1.98,,,29.84
83,1961Q2,1961-06,1.73,,,29.84
84,1961Q3,1961-07,1.17,,,29.92
85,1961Q3,1961-08,2.0,,,29.94
86,1961Q3,1961-09,1.88,,,29.98
87,1961Q4,1961-10,2.26,,,29.98
88,1961Q4,1961-11,2.61,,,29.98
89,1961Q4,1961-12,2.33,,,30.01
90,1962Q1,1962-01,2.15,,,30.04
91,1962Q1,1962-02,2.37,,,30.11
92,1962Q1,1962-03,2.85,,,30.17
93,1962Q2,1962-04,2.78,,,30.21
94,1962Q2,1962-05,2.36,,,30.24
95,1962Q2,1962-06,2.68,,,30.21
96,1962Q3,1962-07,2.71,,,30.22
97,1962Q3,1962-08,2.93,,,30.28
98,1962Q3,1962-09,2.9,,,30.42
99,1962Q4,1962-10,2.9,,,30.38
100,1962Q4,1962-11,2.94,,,30.38
101,1962Q4,1962-12,2.93,,,30.38
102,1963Q1,1963-01,2.92,,,30.44
103,1963Q1,1963-02,3.0,,,30.48
104,1963Q1,1963-03,2.98,,,30.51
105,1963Q2,1963-04,2.9,,,30.48
106,1963Q2,1963-05,3.0,,,30.51
107,1963Q2,1963-06,2.99,,,30.61
108,1963Q3,1963-07,3.02,,,30.69
109,1963Q3,1963-08,3.49,,,30.75
110,1963Q3,1963-09,3.48,,,30.72
111,1963Q4,1963-10,3.5,,,30.75
112,1963Q4,1963-11,3.48,,,30.78
113,1963Q4,1963-12,3.38,,,30.88
114,1964Q1,1964-01,3.48,,,30.94
115,1964Q1,1964-02,3.48,,,30.91
116,1964Q1,1964-03,3.43,,,30.94
117,1964Q2,1964-04,3.47,,,30.95
118,1964Q2,1964-05,3.5,,,30.98
119,1964Q2,1964-06,3.5,,,31.01
120,1964Q3,1964-07,3.42,,,31.02
121,1964Q3,1964-08,3.5,,,31.05
122,1964Q3,1964-09,3.45,,,31.08
123,1964Q4,1964-10,3.36,,,31.12
124,1964Q4,1964-11,3.52,,,31.21
125,1964Q4,1964-12,3.85,,,31.25
126,1965Q1,1965-01,3.9,,,31.28
127,1965Q1,1965-02,3.98,,,31.28
128,1965Q1,1965-03,4.05,,,31.31
129,1965Q2,1965-04,4.09,,,31.38
130,1965Q2,1965-05,4.1,,,31.48
131,1965Q2,1965-06,4.05,,,31.61
132,1965Q3,1965-07,4.09,,,31.58
133,1965Q3,1965-08,4.12,,,31.55
134,1965Q3,1965-09,4.02,,,31.62
135,1965Q4,1965-10,4.08,,,31.65
136,1965Q4,1965-11,4.1,,,31.75
137,1965Q4,1965-12,4.32,,,31.85
138,1966Q1,1966-01,4.42,,,31.88
139,1966Q1,1966-02,4.6,,,32.08
140,1966Q1,1966-03,4.66,,,32.18
141,1966Q2,1966-04,4.67,,,32.28
142,1966Q2,1966-05,4.9,,,32.35
143,1966Q2,1966-06,5.17,,,32.38
144,1966Q3,1966-07,5.3,,,32.45
145,1966Q3,1966-08,5.53,,,32.65
146,1966Q3,1966-09,5.4,,,32.75
147,1966Q4,1966-10,5.53,,,32.85
148,1966Q4,1966-11,5.76,,,32.88
149,1966Q4,1966-12,5.4,,,32.92
150,1967Q1,1967-01,4.94,,,32.9
151,1967Q1,1967-02,5.0,,,33.0
152,1967Q1,1967-03,4.53,,,33.0
153,1967Q2,1967-04,4.05,,,33.1
154,1967Q2,1967-05,3.94,,,33.1
155,1967Q2,1967-06,3.98,,,33.3
156,1967Q3,1967-07,3.79,,,33.4
157,1967Q3,1967-08,3.9,,,33.5
158,1967Q3,1967-09,3.99,,,33.6
159,1967Q4,1967-10,3.88,,,33.7
160,1967Q4,1967-11,4.13,,,33.9
161,1967Q4,1967-12,4.51,,,34.0
162,1968Q1,1968-01,4.61,,,34.1
163,1968Q1,1968-02,4.71,,,34.2
164,1968Q1,1968-03,5.05,,,34.3
165,1968Q2,1968-04,5.76,,,34.4
166,1968Q2,1968-05,6.12,,,34.5
167,1968Q2,1968-06,6.07,,,34.7
